title,director,cast,genre,notes
Monica,IFC Films,"Andrea Pallaoro, Trace Lysette, Patricia Clarkson, Emily Browning, Joshua Close, Adriana Barraza",[112],
The Starling Girl,Bleecker Street,"Eliza Scanlen, Lewis Pullman, Wrenn Schmidt, Austin Abrams, Kyle Secor, Jimmi Simpson",[113],
White Men Can't Jump,Hulu,"Calmatic, Kenya Barris, Sinqua Walls, Jack Harlow, Teyana Taylor, Laura Harrier, Vince Staples, Lance Reddick",[115],
Master Gardener,Magnolia Pictures,"Paul Schrader, Joel Edgerton, Sigourney Weaver, Quintessa Swindell, Esai Morales",[116],
Sanctuary,Neon,"Zachary Wigon, Margaret Qualley, Christopher Abbott",[117],
Robots,Neon,"Casper Christensen, Shailene Woodley, Jack Whitehall",[118],
Moon Garden,Oscilloscope,Augie Duke,[119],
Kandahar,Open Road Films,"Ric Roman Waugh, Gerard Butler, Navid Negahban, Ali Fazal, Nina Toussaint-White, Vassilis Koukalani, Mark Arnold, Corey Johnson, Travis Fimmel",[121],
The Machine,Screen Gems,"Peter Atencio, Kevin Biegel, Bert Kreischer, Mark Hamill, Jimmy Tatro, Stephanie Kurtzuba",[122],
About My Father,Lionsgate,"Sebastian Maniscalco, Robert De Niro, Leslie Bibb, Anders Holm, David Rasche, Kim Cattrall",[123],
You Hurt My Feelings,A24,"Nicole Holofcener, Julia Louis-Dreyfus, Tobias Menzies, Michaela Watkins, Arian Moayed, Owen Teague, Amber Tamblyn, David Cross, Jeannie Berlin",[124],
The Wrath of Becky,Quiver Distribution,"Lulu Wilson, Seann William Scott",[125],
The Boogeyman,20th Century Studios,"Rob Savage, Scott Beck, Bryan Woods, Mark Heyman, Sophie Thatcher, Chris Messina, Vivien Lyra Blair, Marin Ireland, Madison Hu, LisaGay Hamilton, David Dastmalchian",[128],
Past Lives,A24,"Celine Song, Greta Lee, Teo Yoo, John Magaro",[124],
Shooting Stars,Peacock,"Chris Robinson, Frank E. Flowers, Caleb McLaughlin, Algee Smith, Dermot Mulroney",[129],
Flamin' Hot,Hulu,"Eva Longoria, Lewis Colick, Jesse Garcia, Dennis Haysbert, Tony Shalhoub",[131],
Dalíland,Magnolia Pictures,"Mary Harron, John C. Walsh, Ben Kingsley, Barbara Sukowa, Christopher Briney, Rupert Graves, Alexander Beyer, Andreja Pejić, Suki Waterhouse, Ezra Miller",[132],
Elemental,Walt Disney Pictures,"Peter Sohn, John Hoberg, Kat Likkel, Leah Lewis, Mamoudou Athie, Ronnie del Carmen, Wendi McLendon-Covey, Catherine O'Hara",[135],
Asteroid City,Focus Features,"Wes Anderson, Roman Coppola, Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright, Tilda Swinton, Bryan Cranston, Edward Norton, Adrien Brody, Liev Schreiber, Hope Davis, Stephen Park, Rupert Friend, Maya Hawke, Steve Carell, Matt Dillon, Hong Chau, Willem Dafoe, Margot Robbie, Tony Revolori, Jeff Goldblum",[136],
Extraction 2,Netflix,"Sam Hargrave, Joe Russo, Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tinatin Dalakishvili, Daniel Bernhardt, Olga Kurylenko, Idris Elba",[109],
The Blackening,Lionsgate,"Tim Story, Tracy Oliver, Dewayne Perkins, Grace Byers, Jermaine Fowler, Melvin Gregg, X Mayo, Antoinette Robertson, Sinqua Walls, Jay Pharoah, Yvonne Orji",[137],
The Perfect Find,Netflix,"Numa Perrier, Leigh Davenport, Gabrielle Union, Keith Powers, Aisha Hinds, D. B. Woodside, La La Anthony, Gina Torres",[140],
World's Best,Disney+,"Roshan Sethi, Utkarsh Ambudkar, Punam Patel",[141],
God Is a Bullet,XYZ Films,"Nick Cassavetes, Nikolaj Coster-Waldau, Jamie Foxx, Maika Monroe, January Jones, Andrew Dice Clay",[142],
Wonderwell,Vertical Entertainment,"Carrie Fisher, Rita Ora, Nell Tiger Free",[143],
"Ruby Gillman, Teenage Kraken",Universal Pictures,"Kirk DeMicco, Pam Brady, Lana Condor, Toni Collette, Annie Murphy, Sam Richardson, Liza Koshy, Will Forte, Colman Domingo, Jaboukie Young-White, Nicole Byer, Jane Fonda",[145],
Nimona,Netflix,"Nick Bruno and Troy Quane, Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy",[146],
Confidential Informant,Lionsgate,"Michael Oblowitz, Mel Gibson, Kate Bosworth, Dominic Purcell, Nick Stahl, Erik Valdez",[147],
Prisoner's Daughter,Vertical Entertainment,"Catherine Hardwicke, Kate Beckinsale, Brian Cox, Christopher Convery, Jon Huertas, Ernie Hudson",[148],
Joy Ride,Lionsgate,"Adele Lim, Cherry Chevapravatdumrong, Teresa Hsiao, Ashley Park, Sherry Cola, Stephanie Hsu, Sabrina Wu",[152],
The Out-Laws,Netflix,"Tyler Spindel, Adam DeVine, Nina Dobrev, Ellen Barkin, Pierce Brosnan",[153],
Earth Mama,A24,"Erika Alexander, Doechii, Sharon Duncan-Brewster, Olivia Luccardi, Dominic Fike, Bokeem Woodbine",[154],
Biosphere,IFC Films,"Mel Eslyn, Mark Duplass, Sterling K. Brown",[155],
Theater Camp,Searchlight Pictures,"Molly Gordon, Nick Lieberman, Ben Platt, Noah Galvin, Jimmy Tatro, Patti Harrison, Nathan Lee Graham, Ayo Edebiri, Caroline Aaron, Amy Sedaris",[159],
Oppenheimer,Universal Pictures,"Christopher Nolan, Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh, Josh Hartnett, Casey Affleck, Rami Malek, Kenneth Branagh",[161],
Cobweb,Lionsgate,"Lizzy Caplan, Woody Norman, Cleopatra Coleman, Antony Starr",[162],
The Beanie Bubble,Apple TV+,"Kristin Gore, Damian Kulash, Zach Galifianakis, Elizabeth Banks, Sarah Snook, Geraldine Viswanathan",[163],
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,Warner Bros. Home Entertainment,"Jackson Publick, Doc Hammer, James Urbaniak, Patrick Warburton, Michael Sinterniklaas, Chris McCulloch",[164],
Sympathy for the Devil,RLJE Films,"Yuval Adler, Nicolas Cage, Joel Kinnaman",[167],
Circus Maximus,AMC Entertainment,"Travis Scott, Gaspar Noé, Valdimar Jóhannsson, Nicolas Winding Refn, Harmony Korine, Kahlil Joseph, Rick Rubin, James Blake, Sheck Wes, Yung Lean, Teezo Touchdown",[168],
Happiness for Beginners,Netflix,"Ellie Kemper, Luke Grimes, Nico Santos, Blythe Danner",[169],
War Pony,Momentum Pictures,Riley Keough,[170],
Shortcomings,Sony Pictures Classics,"Randall Park, Adrian Tomine, Justin H. Min, Sherry Cola, Ally Maki, Debby Ryan, Tavi Gevinson, Sonoya Mizuno, Jacob Batalon, Timothy Simons",[176],
Dreamin' Wild,Roadside Attractions,"Bill Pohlad, Casey Affleck, Walton Goggins, Zooey Deschanel, Noah Jupe, Jack Dylan Grazer, Chris Messina, Beau Bridges",[177],
Corner Office,Lionsgate,"Jon Hamm, Danny Pudi, Sarah Gadon, Christopher Heyerdahl",[178],
What Comes Around,IFC Films,"Amy Redford, Summer Phoenix, Grace Van Dien, Jesse Garcia, Kyle Gallner",[179],
The Passenger,MGM+,Kyle Gallner,[180],
Heart of Stone,Netflix,"Tom Harper, Greg Rucka, Allison Schroeder, Gal Gadot, Jamie Dornan, Alia Bhatt, Matthias Schweighöfer, Sophie Okonedo",[109],
"Red, White & Royal Blue",Amazon Studios,"Matthew Lopez, Taylor Zakhar Perez, Nicholas Galitzine, Clifton Collins Jr., Sarah Shahi, Rachel Hilson, Stephen Fry, Uma Thurman",[182],
Jules,Bleecker Street,"Marc Turtletaub, Ben Kingsley, Jane Curtin, Harriet Sansom Harris",[183],
Strays,Universal Pictures,"Josh Greenbaum, Dan Perrault, Will Ferrell, Jamie Foxx, Will Forte, Isla Fisher, Randall Park, Josh Gad, Harvey Guillén, Rob Riggle, Brett Gelman, Jamie Demetriou, Sofia Vergara",[186],
The Monkey King,Netflix,"Anthony Stacchi, Steve Bencich, Ron J. Friedman, Jimmy O. Yang, Bowen Yang, Jo Koy, Stephanie Hsu, BD Wong",[187],
